source	target	depth
software agent	chatbot	3
software agent	hal 9000	3
simulated reality	artificial life	3
simulated reality	artificial society	3
simulated reality	augmented reality	3
simulated reality	boltzmann brain	3
simulated reality	computational sociology	3
simulated reality	consensus reality	3
simulated reality	demiurge	3
simulated reality	digital philosophy	3
simulated reality	digital physics	3
simulated reality	hyperreality	3
simulated reality	margolus–levitin theorem	3
simulated reality	maya (religion)	3
simulated reality	metaverse	3
simulated reality	mind uploading	3
simulated reality	openworm	3
simulated reality	philosophy of information	3
simulated reality	simulation hypothesis	3
simulated reality	social simulation	3
simulated reality	theory of knowledge	3
simulated reality	omega point (tipler)	3
simulated reality	virtual reality simulator	3
simulated reality	virtual world	3
simulated reality	nick bostrom	3
simulated reality	rené descartes	3
simulated reality	evil demon	3
simulated reality	george berkeley	3
simulated reality	subjective idealism	3
simulated reality	plato	3
simulated reality	allegory of the cave	3
simulated reality	zhuang zhou	3
simulated reality	zhuangzi (book)	3
natural language processing	1 the road	3
natural language processing	automated essay scoring	3
natural language processing	biomedical text mining	3
natural language processing	compound term processing	3
natural language processing	computational linguistics	3
natural language processing	computer-assisted reviewing	3
natural language processing	controlled natural language	3
natural language processing	deep learning	3
natural language processing	deep linguistic processing	3
natural language processing	distributional semantics	3
natural language processing	foreign language reading aid	3
natural language processing	foreign language writing aid	3
natural language processing	information extraction	3
natural language processing	information retrieval	3
natural language processing	language and communication technologies	3
natural language processing	language technology	3
natural language processing	latent semantic indexing	3
natural language processing	native-language identification	3
natural language processing	natural language programming	3
natural language processing	natural language user interface	3
natural language processing	query expansion	3
natural language processing	query understanding	3
natural language processing	reification (linguistics)	3
natural language processing	speech processing	3
natural language processing	spoken dialogue systems	3
natural language processing	text-proofing	3
natural language processing	text simplification	3
natural language processing	transformer (machine learning model)	3
natural language processing	truecasing	3
natural language processing	question answering	3
natural language processing	word2vec	3
microsoft office assistant	microsoft bob	3
microsoft office assistant	ms. dewey	3
microsoft office assistant	tafiti	3
microsoft office assistant	tay (bot)	3
microsoft office assistant	talking moose	3
microsoft office assistant	virtual assistant	3
intelligent agent	software agent	3
intelligent agent	cognitive architecture	3
intelligent agent	cognitive radio	3
intelligent agent	cybernetics	3
intelligent agent	computer science	3
intelligent agent	embodied agent	3
intelligent agent	federated search	3
intelligent agent	fuzzy agent	3
intelligent agent	fuzzy logic	3
intelligent agent	goal agent programming language	3
intelligent agent	intelligence	3
intelligent agent	artificial intelligence	3
intelligent agent	jack intelligent agents	3
intelligent agent	multi-agent system	3
intelligent agent	multiple-agent system	3
intelligent agent	peas	3
intelligent agent	reinforcement learning	3
intelligent agent	semantic web	3
intelligent agent	simulated reality	3
intelligent agent	social simulation	3
intelligent agent	era of intelligent agents	3
home network	access control	3
home network	computer security software	3
home network	data backup	3
home network	encryption	3
home network	firewall (computing)	3
home network	home automation	3
home network	home server	3
home network	indoor positioning system	3
home network	logout	3
home network	network security	3
home network	passphrase	3
home network	smart, connected products	3
home network	software update	3
home network	threat (computer)	3
home network	two factor authentication	3
home network	virtual assistant	3
expert system	ai winter	3
expert system	clips	3
expert system	constraint logic programming	3
expert system	constraint satisfaction	3
expert system	knowledge engineering	3
expert system	learning classifier system	3
expert system	rule-based machine learning	3
computer facial animation	animation	3
computer facial animation	caricature	3
computer facial animation	computer animation	3
computer facial animation	computer graphics	3
computer facial animation	facial expression	3
computer facial animation	interactive online characters	3
computer facial animation	morphing	3
computer facial animation	parametric surface	3
computer facial animation	texture mapping	3
conversational user interface	user interface	3
conversational user interface	user interface design	3
conversational user interface	natural-language user interface	3
conversational user interface	voice user interface	3
chatbot	applications of artificial intelligence	3
chatbot	eugene goostman	3
chatbot	interactive online characters	3
chatbot	internet bot	3
chatbot	social bot	3
chatbot	software bot	3
chatbot	twitterbot	3
chatbot	virtual assistant	3
applications of artificial intelligence	applications of artificial intelligence to legal informatics	3
applications of artificial intelligence	applications of deep learning	3
applications of artificial intelligence	applications of machine learning	3
applications of artificial intelligence	progress in artificial intelligence	3
speech synthesis	chinese speech synthesis	3
speech synthesis	comparison of screen readers	3
speech synthesis	comparison of speech synthesizers	3
speech synthesis	euphonia (device)	3
speech synthesis	orca (assistive technology)	3
speech synthesis	paperless office	3
speech synthesis	speech processing	3
speech synthesis	speech-generating device	3
speech synthesis	silent speech interface	3
speech synthesis	text to speech in digital television	3
voice control	speech recognition	3
voice control	speech synthesis	3
voice control	natural language user interface	3
voice control	user interface engineering	3
voice control	voice browser	3
voice control	voice command	3
voice control	speech recognition in linux	3
voice control	linguatronic	3
voice control	home automation	3
voice control	voice computing	3
microsoft cortana	microsoft voice command	3
microsoft cortana	windows speech recognition	3
microsoft cortana	microsoft agent	3
microsoft cortana	office assistant	3
microsoft cortana	microsoft bob	3
speech recognition	ai effect	3
speech recognition	alpac	3
speech recognition	applications of artificial intelligence	3
speech recognition	articulatory speech recognition	3
speech recognition	audio mining	3
speech recognition	audio-visual speech recognition	3
speech recognition	automatic language translator	3
speech recognition	automotive head unit	3
speech recognition	cache language model	3
speech recognition	dragon naturallyspeaking	3
speech recognition	fluency voice technology	3
speech recognition	google voice search	3
speech recognition	ibm viavoice	3
speech recognition	keyword spotting	3
speech recognition	kinect	3
speech recognition	mondegreen	3
speech recognition	multimedia information retrieval	3
speech recognition	origin of speech	3
speech recognition	phonetic search technology	3
speech recognition	speaker diarisation	3
speech recognition	speaker recognition	3
speech recognition	speech analytics	3
speech recognition	speech interface guideline	3
speech recognition	speech recognition software for linux	3
speech recognition	speech synthesis	3
speech recognition	speech verification	3
speech recognition	subtitle (captioning)	3
speech recognition	voicexml	3
speech recognition	voxforge	3
speech recognition	windows speech recognition	3
speech recognition	timeline of speech and voice recognition	3
knowledge visualization	graphical perception	3
knowledge visualization	spatial visualization ability	3
office of the future	intelligence amplification	3
office of the future	memex	3
office of the future	mobile office	3
office of the future	paperless office	3
office of the future	home of the future	3
clippy	microsoft bob	3
clippy	ms. dewey	3
clippy	tafiti	3
clippy	tay (bot)	3
clippy	talking moose	3
clippy	virtual assistant	3
1984 (advertisement)	think different	3
1984 (advertisement)	get a mac	3
project xanadu	enfilade (xanadu)	3
project xanadu	hypermedia	3
project xanadu	enquire	3
project xanadu	interpedia	3
project xanadu	american information exchange	3
project xanadu	tent (protocol)	3
project xanadu	microcosm (hypermedia system)	3
project xanadu	ibm notes	3
project xanadu	plato (computer system)	3
project xanadu	wiki	3
project xanadu	memex	3
project xanadu	ipfs	3
zettelkasten	argument map	3
zettelkasten	commonplace book	3
zettelkasten	hypertext	3
zettelkasten	issue-based information system	3
zettelkasten	memex	3
zettelkasten	notetaking	3
zettelkasten	comparison of notetaking software	3
zettelkasten	outliner	3
zettelkasten	personal knowledge base	3
zettelkasten	personal knowledge management	3
zettelkasten	personal wiki	3
zettelkasten	reference management software	3
world brain	collective intelligence	3
world brain	joël de rosnay	3
world brain	noosphere	3
world brain	organizational learning	3
world brain	citizendium	3
world brain	the forbin project	3
world brain	the library of babel	3
world brain	encyclopedia galactica	3
web annotation	comparison of notetaking software	3
web annotation	social bookmarking	3
web annotation	reference management software	3
web annotation	backlinks	3
web annotation	online deliberation	3
web annotation	folksonomy	3
web annotation	metadata	3
web annotation	threaded discussion	3
web annotation	virtual graffiti	3
web annotation	comparison of software saving web pages for offline use	3
paul otlet	ada lovelace	3
paul otlet	andries van dam	3
paul otlet	conrad gessner	3
paul otlet	douglas engelbart	3
paul otlet	george dyson (science historian)	3
paul otlet	henri la fontaine	3
paul otlet	herbert haviland field	3
paul otlet	j.c.r. licklider	3
paul otlet	ted nelson	3
paul otlet	tim berners-lee	3
paul otlet	vannevar bush	3
paul otlet	w. boyd rayward	3
paul otlet	as we may think	3
paul otlet	external memory (psychology)	3
paul otlet	global brain	3
paul otlet	hypermedia	3
paul otlet	hypertext	3
paul otlet	intelligence amplification	3
paul otlet	memex	3
paul otlet	project xanadu	3
paul otlet	victorian internet	3
paul otlet	world brain	3
paul otlet	world wide web	3
paul otlet	bibliography	3
paul otlet	documentation science	3
paul otlet	information science	3
paul otlet	knowledge organization	3
paul otlet	library and information science	3
mundaneum	as we may think	3
mundaneum	history of libraries	3
mundaneum	information science	3
mundaneum	oclc	3
mundaneum	project xanadu	3
mundaneum	worldcat	3
mundaneum	paul otlet	3
mundaneum	vannevar bush	3
mundaneum	fred kilgour	3
mundaneum	j.c.r. licklider	3
mundaneum	douglas engelbart	3
mundaneum	ted nelson	3
mundaneum	andries van dam	3
mundaneum	tim berners-lee	3
mundaneum	external memory (psychology)	3
mundaneum	hypermedia	3
mundaneum	hypertext	3
mundaneum	intelligence amplification	3
mundaneum	office of the future	3
mundaneum	victorian internet	3
mundaneum	world wide web	3
intelligence amplification	advanced chess	3
intelligence amplification	augmented learning	3
intelligence amplification	brain–computer interface	3
intelligence amplification	charles sanders peirce	3
intelligence amplification	collective intelligence	3
intelligence amplification	democratic transhumanism	3
intelligence amplification	emotiv systems	3
intelligence amplification	extelligence	3
intelligence amplification	exocortex	3
intelligence amplification	knowledge worker	3
intelligence amplification	mechanization	3
intelligence amplification	neuroenhancement	3
intelligence amplification	noogenesis	3
intelligence amplification	sensemaking (information science)	3
intelligence amplification	the wisdom of crowds	3
metadata (computing)	agris: international information system for the agricultural sciences and technology	3
metadata (computing)	classification scheme	3
metadata (computing)	crosswalk (metadata)	3
metadata (computing)	dataone	3
metadata (computing)	data dictionary	3
metadata (computing)	dublin core	3
metadata (computing)	folksonomy	3
metadata (computing)	geoms – generic earth observation metadata standard	3
metadata (computing)	geospatial metadata	3
metadata (computing)	ipdirector	3
metadata (computing)	iso/iec 11179	3
metadata (computing)	knowledge tag	3
metadata (computing)	the medium is the message	3
metadata (computing)	mercury: metadata search system	3
metadata (computing)	meta element	3
metadata (computing)	if-map	3
metadata (computing)	metadata discovery	3
metadata (computing)	metadata facility for java	3
metadata (computing)	v:4-b: metadata	3
metadata (computing)	metadata publishing	3
metadata (computing)	metadata registry	3
metadata (computing)	metamathematics	3
metadata (computing)	metafor	3
metadata (computing)	microcontent	3
metadata (computing)	microformat	3
metadata (computing)	multicam (lsm)	3
metadata (computing)	observations and measurements	3
metadata (computing)	ontology (computer science)	3
metadata (computing)	official statistics	3
metadata (computing)	paratext	3
metadata (computing)	preservation metadata	3
metadata (computing)	sdmx	3
metadata (computing)	semantic web	3
metadata (computing)	sgml	3
metadata (computing)	the metadata company	3
metadata (computing)	universal data element framework	3
metadata (computing)	vocabulary onesource	3
metadata (computing)	xsd	3
hypomnema	commonplace book	3
hypomnema	commentarii	3
hypomnema	memex	3
hypomnema	mnemonic	3
hypomnema	silva rerum	3
dublin core	metadata registry	3
dublin core	metadata object description schema	3
dublin core	ontology (information science)	3
dublin core	open archives initiative	3
dublin core	controlled vocabulary	3
dublin core	interoperability	3
dublin core	asset description metadata schema	3
dublin core	world wide web consortium	3
dublin core	joinup collaboration platform	3
dublin core	metadata encoding and transmission standard	3
dublin core	library of congress	3
dublin core	digital library federation	3
dublin core	preservation metadata: implementation strategies	3
dublin core	darwin core	3
dublin core	fedora commons	3
dublin core	digital asset management	3
dublin core	oai-pmh	3
dublin core	omeka	3
dublin core	content management system	3
commonplace book	anthology	3
commonplace book	attic nights	3
commonplace book	biji (chinese literature)	3
commonplace book	book of shadows	3
commonplace book	bullet journal	3
commonplace book	commentarii	3
commonplace book	family cookbooks	3
commonplace book	florilegium	3
commonplace book	hypomnema	3
commonplace book	memex	3
commonplace book	miscellany	3
commonplace book	notebook (style)	3
commonplace book	notetaking	3
commonplace book	comparison of notetaking software	3
commonplace book	personal knowledge base	3
commonplace book	personal knowledge management	3
commonplace book	personal wiki	3
commonplace book	the pillow book	3
commonplace book	reference management software	3
commonplace book	sammelband	3
commonplace book	scrapbooking	3
commonplace book	silva rerum	3
commonplace book	w:de:sudelbücher	3
commonplace book	swipe file	3
commonplace book	table-book	3
commonplace book	thesaurus	3
commonplace book	vade mecum	3
commonplace book	handbook	3
commonplace book	waste book	3
commonplace book	zettelkasten	3
wikidata	wp:seealso	3
wikidata	abstract wikipedia	3
wikidata	babelnet	3
wikidata	dbpedia	3
wikidata	freebase (database)	3
wikidata	semantic mediawiki	3
semantic network	abstract semantic graph	3
semantic network	chunking (psychology)	3
semantic network	cmaptools	3
semantic network	concept map	3
semantic network	network diagram	3
semantic network	ontology (information science)	3
semantic network	repertory grid	3
semantic network	semantic lexicon	3
semantic network	semantic similarity network	3
semantic network	semantic neural network	3
semantic network	semeval	3
semantic network	semantic analysis (computational)	3
semantic network	sparse distributed memory	3
semantic network	taxonomy (general)	3
semantic network	unified medical language system	3
semantic network	resource description framework	3
semantic network	cognition network technology	3
semantic network	lexipedia	3
semantic network	opencog	3
semantic network	open mind common sense	3
semantic network	schema.org	3
semantic network	snomed ct	3
semantic network	universal networking language	3
semantic network	wikidata	3
semantic network	freebase (database)	3
knowledge graph	ontology (information science)	3
knowledge graph	semantic technology	3
knowledge graph	yago (database)	3
knowledge graph	knowledge graph embedding	3
semantic integration	data integration	3
semantic integration	dataspaces	3
semantic integration	enterprise integration	3
semantic integration	ontology-based data integration	3
semantic integration	ontology alignment	3
semantic integration	ontology engineering	3
semantic integration	ontology matching	3
semantic integration	semantic heterogeneity	3
semantic integration	semantic technology	3
semantic integration	semantic translation	3
semantic integration	semantic unification	3
linked data	american art collaborative	3
linked data	authority control	3
linked data	citation analysis	3
linked data	hyperdata	3
linked data	network model	3
linked data	schema.org	3
linked data	void	3
linked data	web ontology language	3
dbpedia	babelnet	3
dbpedia	semantic mediawiki	3
dbpedia	wikidata	3
smart device	computer appliance	3
smart device	home automation	3
smart device	information appliance	3
smart device	internet of things	3
smart device	mobile device	3
smart device	mobile phone	3
smart device	sensor node	3
smart device	smart environment	3
smart device	smart, connected products	3
smart device	smartphone	3
smart device	telerobotics	3
smart device	ubiquitous computing	3
smart device	web of things	3
voice command device	speech recognition	3
voice command device	speech synthesis	3
voice command device	natural language user interface	3
voice command device	user interface engineering	3
voice command device	voice browser	3
voice command device	voice command	3
voice command device	speech recognition in linux	3
voice command device	linguatronic	3
voice command device	home automation	3
voice command device	voice computing	3
home automation	home automation for the elderly and disabled	3
home automation	home network	3
home automation	home robot	3
home automation	indoor positioning	3
home automation	internet of things	3
home automation	mobile manipulator	3
home automation	mobile robot	3
home automation	smart device	3
home automation	smart speaker	3
home automation	web of things	3
internet of things	5g	3
internet of things	artificial intelligence of things	3
internet of things	automotive security	3
internet of things	big data	3
internet of things	cloud manufacturing	3
internet of things	cyber-physical system	3
internet of things	data distribution service	3
internet of things	digital object memory	3
